Area Name,Area Type,Year,Labor Force,Employment,Unemployment,Unemployment Rate,Average Monthly Employment,Total Wages (All Workers),Average Weekly Wages,Establishments,Total Expenditures,Estimated Population,Expenditures Per Capita
Glenn County,County,2011.0,13160.0,11080.0,2080.0,15.8,252.49,3423670.0,638.3,42.81,66014786.0,28273.0,2335.0
Humboldt County,County,2011.0,65000.0,58000.0,7000.0,10.7,517.34,7058662.24,695.07,62.61,232619292.0,135263.0,1720.0
Imperial County,County,2011.0,79600.0,56300.0,23300.0,29.3,751.9,10351256.88,697.91,92.79,274556866.0,176258.0,1558.0
Inyo County,County,2011.0,9660.0,8710.0,960.0,9.9,245.44,3588975.38,684.74,23.3,64907072.0,18634.0,3483.0
Kern County,County,2011.0,382000.0,324400.0,57600.0,15.1,2087.61,34220129.88,789.64,136.66,1555380622.0,846883.0,1837.0
Kings County,County,2011.0,59100.0,49500.0,9600.0,16.2,662.07,9441383.99,693.78,69.02,186724804.0,153365.0,1218.0
Lake County,County,2011.0,29580.0,25210.0,4370.0,14.8,318.07,4204094.52,672.88,80.94,115093688.0,64784.0,1777.0
Lassen County,County,2011.0,11770.0,10150.0,1620.0,13.8,278.92,4805985.35,665.13,22.31,56644193.0,34577.0,1638.0
Los Angeles County,County,2011.0,4941700.0,4337400.0,604300.0,12.2,15832.03,343041677.57,1086.78,1754.8,17290917622.0,9858989.0,1754.0
Madera County,County,2011.0,62000.0,51800.0,10200.0,16.4,645.51,9028198.33,670.53,68.71,178214387.0,151949.0,1173.0
Marin County,County,2011.0,134200.0,124300.0,9900.0,7.4,948.36,21726565.07,1103.9,112.19,432353051.0,254692.0,1698.0
